name,category,price,badge,description,image_url
BARCELONA HOME JERSEY,football,1299,BESTSELLER,Season 2024/25 · Premium Dry-Fit,
REAL MADRID AWAY JERSEY,football,1299,NEW,Season 2024/25 · Official Style,
MANCHESTER CITY HOME,football,1199,,Season 2024/25 · Sky Blue Edition,
PSG AWAY JERSEY,football,1199,,Season 2024/25 · Ligue 1,
LA LAKERS CITY EDITION,basketball,1499,HOT,NBA 2024 · Gold & Purple,
CHICAGO BULLS CLASSIC,basketball,1399,,NBA Classic · Red & Black,
GOLDEN STATE WARRIORS,basketball,1399,NEW,NBA 2024 · City Edition,
INDIA T20 BLUE,cricket,999,BESTSELLER,Team India Official Style,
CSK YELLOW WARRIORS,cricket,899,,IPL Special Edition,
ARGENTINA 1986 RETRO,retro,1599,RETRO,World Cup Legend Edition,
